Account,date,classification,daily_pnl,trade_count,total_size_usd,avg_trade_size,wins,long_count,short_count,win_rate,ls_ratio,segment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,Extreme Greed,14685.787664,98,25406.1,259.2459183673469,48,33,65,0.4897959183673469,0.507692307684497,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,Greed,389.176232,69,8956.57,129.80536231884057,16,27,42,0.2318840579710145,0.6428571428418368,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,Extreme Greed,4008.012049,86,13732.33,159.67825581395348,36,20,66,0.4186046511627907,0.30303030302571166,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,Extreme Greed,554.009942,102,7922.52,77.67176470588235,43,31,71,0.4215686274509804,0.43661971830370955,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,Extreme Greed,768.430838,213,18772.08,88.1318309859155,126,169,44,0.5915492957746479,3.840909090821798,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,Extreme Greed,980.557461,157,18780.69,119.62222929936306,106,117,40,0.6751592356687898,2.924999999926875,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,Greed,1582.001112,93,11570.32,124.41204301075268,32,16,77,0.34408602150537637,0.2077922077895092,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,Extreme Greed,5806.86932,147,22071.36,150.14530612244897,82,28,119,0.5578231292517006,0.23529411764508157,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,Extreme Greed,1522.284412,155,13731.75,88.59193548387097,71,83,72,0.45806451612903226,1.152777777761767,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,Extreme Greed,13281.73126,154,28880.56,187.5361038961039,119,45,109,0.7727272727272727,0.41284403669346015,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,Extreme Greed,5389.96219,137,17125.99,125.00722627737227,68,61,76,0.49635036496350365,0.8026315789368075,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,Extreme Greed,13190.248859,230,30184.81,131.2383043478261,154,85,145,0.6695652173913044,0.5862068965476813,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,Extreme Greed,4454.939378,181,20394.48,112.67668508287292,78,98,83,0.430939226519337,1.1807228915520394,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,Extreme Greed,3624.489655,191,23859.85,124.92068062827224,80,102,89,0.418848167539267,1.14606741571746,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,Extreme Greed,1525.329937,204,40188.99,197.00485294117647,80,159,45,0.39215686274509803,3.533333333254815,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,Greed,7812.716373,194,56183.31,289.6046907216495,111,64,130,0.5721649484536082,0.49230769230390536,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,Greed,7465.899936,107,23041.15,215.33785046728974,54,26,81,0.5046728971962616,0.3209876543170248,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,Greed,1174.025529,79,13811.95,174.83481012658228,41,45,34,0.5189873417721519,1.3235294117257788,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,Greed,122.889996,95,20168.95,212.30473684210526,29,86,9,0.30526315789473685,9.555555554493827,Frequent
